评论内容,匹配的长文本
软件bug,软件bug，等新固件吧
软件有漏洞正常谈不上漏洞,软件有漏洞正常谈不上漏洞，更何况这是自动识别，不能完全依赖软件
感觉是程序方面的bug,感觉是程序方面的bug，避障功能卡住用不了的那种。这种环境一般来说分辨不出来的概率很小的，基本上是可以识别到并避开的（因为我自己也有稍微涉足过双目视觉避障这个领域），他们宣传的避障系统所能实现的功能是没什么问题的，但是这个避障系统的稳定性可能还不高（时不时会抽风的那种），总之飞无人机还是要在空旷的地方飞，毕竟任何时候都不能保证飞机上系统的稳定性。
这是程序错误了,这是程序错误了，好解决
目前neo可以卡bug不连遥控手机,哥们儿你玩无人机么？北京有什么景点涉及军区了？无人机基本出了5环就可以起了。水库信号稍有干扰但是可以飞，比如怀柔水库密云水库。故宫neo这玩意你飞一个我看看，我估计按你的不是保安，是警察。目前neo可以卡bug不连遥控手机，但就这个受众群体，要么强化禁飞要么修。这东西的动力抗风和镜头，你高空起来能拍啥能用的。你要就图禁飞不如买哈博森，好歹飞高画面能用。
撞机掉下来后就断断续续和遥控器断联,撞机掉下来后就断断续续和遥控器断联，连上又马上掉也是这个问题嘛？
遥控突然断联,我也遇到了，也是更新以后出现的问题，我导航回来6%的电，4g满格，遥控突然断联，大疆免费赔了一台
就是遥控器偶尔断联,不愧是大疆，技术牛，服务赞，三倍长焦出彩！！！！飞行稳定无比，就是遥控器偶尔断联，这个要做好，不然就很多失误失联！
干扰枪打了不是只会遥控失联,干扰枪打了不是只会遥控失联，然后自动返航的吗？还有私人持有干扰枪不是违法的吗
中途突然飞机跟遥控失联,中途突然飞机跟遥控失联，慌的一批
遥控器就失联自动返航,买了全套，包括畅飞套装（2块电池）和穿越摇杆，发货很快，昨天收到后即启用，充电激活花了几个小时，在室内起飞，那声音和气流，只能说强劲。今天出去飞了几次，还是习惯遥控器，感觉图传比遥控信号要好，飞出去不到2km，图像没任何不妥，遥控器就失联自动返航。穿越摇杆还不熟练，虽然买了保险，还是怕炸机，以前玩mini的阴影，任何障碍都不敢靠太近。有个问题，摇杆爬高只能仰面朝天，没仔细看手册，不知能不能锁定镜头角度。感觉设计者意图是摇杆主要用于低空快速穿越，那种指哪打哪的视角不是遥控器能轻易做到的。最后说说电池，昨天更新时一直在吐槽眼镜电池为什么这么小，今天才发现飞行电池才是消耗得快，三块电都只剩2格，遥控和眼镜才用了一格。
否则容易遥控器信号丢失,第一视角飞行体验很爽。运动模式下速度已经够快了。模拟器练好了再飞手动模式。注意一定要远离信号塔，否则容易遥控器信号丢失，幸亏大疆fpv有自动返航功能，吓了一身冷汗。三块电池是必须的，运动模式下大概可以飞6分钟左右，普通模式下可以飞15分钟左右。
距离两公里多就提示遥控信号丢失,物流速度奇快，第一天晚上九点多下单，第二天中午就到了，第二天晚上加班太迟回来，第三天上午才激活首飞。图传距离感觉没比我去年买的mini好多少，距离两公里多就提示遥控信号丢失。眼镜耗电速度好快啊。套装没赠送收纳包也很不方便，尤其是出门去玩。其他再飞几天再做评价
