评论内容,故障模式句子
解决室内GPS信号差甚至无信号切换到近场低延迟图传,True
图传丢失,True
可能是因为信号被遮挡了,True
大部分遮挡物都有不错的信号遮挡能力,True
在信号不好的时候飞机会自己漂开,True
图传低飞有遮挡物300,True
大疆在用自己的方式来降低门槛的同时有了穿越摇杆,True
桨叶的咋可能没噪音,True
是如何保证信号不中断的,True
很多时候进到室内或者被楼房遮挡就没了信号,True
唯一不好的是信号真的还有一个有点视角遮挡不适合低飞,True
我想问一下我的镜头为什么看起来周围环境都是变形的（,True
说是GPS信号弱导致无法定位,True
为什么信号这么好不会失联~,True
又能在一定高度区间内缓解障碍物遮挡导致信号不稳定,True
打开一看好家伙遥控器已经烂了天线寄修遥控花了两百多只不过精灵3a挺耐揍的炸机好几次没问题换桨叶继续即可,True
云台掉了机臂断了桨叶断了,True
像什么电机异响,True
我前几天在室内飞桨叶蹭了几下墙壁后迫降,True
观察了报警的电机上的桨叶确实有磨损换了就好了,True
但是又换另一个电机报警也是电机转速过快,True
螺丝松动和桨叶磨损都会导致这个警报,True
因为桨叶真的有可能会变形,True
问题在于是否真的桨叶变形了,True
折叠后后肢桨叶朝下压致变形,True
所谓多数是后肢桨叶出故障,True
变形的桨叶我也有解决办法,True
成型后为以后的变形桨叶重塑造型,True
只要把变形的桨叶放到模板上用热风筒吹热三分钟左右,True
应该桨叶有变形之类的,True
我遥控器完全无法控制,True
有可能是避障失效,True
11月的几次固件更新以后下方测距不准了,True
请问我的御mini旋转的时候摄像头晃动的特别厉害是为啥,True
我之前也有这个报警也试过重刷固件刚开始有用一段时间后还是报警也试过悬停五分钟没用后来观察到起飞离地的瞬间飞机有一个顺时针的偏航离地后飞控自主矫正感觉是硬件问题就寄回大疆了没有care大疆免费维修还更换桨叶换了两个电机,True
我的迷你4K室内飞的时候给云台机械臂撞坏了,True
导致智能电池进入高温保护自动放电,True
可能是电芯以为自己过热了就直接开始放电了,True
电池通讯出错了,True
难道是没电电机突然停机失去动力,True
应该避障失效,True
云台校准无报错,True
校准后云台向左歪,True
云台是不歪了,True
感觉是程序方面的bug,True
飞机的避障系统如果是在逆光太严重或者面向太阳的情况下也是有很大几率失效的,True
用了半年出现了摇杆磨损无法校准飞行时不打杆自动偏航,True
甚至还有排线外露这些设计缺陷,True
都出现了五维摇杆容易脱落的情况,True
一个按钮歪了有什么影响,True
视觉定位算法出错,True
刚开始有提示电机异常,True
倍率混合变焦云台抖动,True
御2哈苏在那种橡皮跑到上降落也是直接摔下来的,True
无人机先执行遥控操作才会停桨,True
